,Accuracy,Precision,Recall,F1-Measure
SSF,0.9140625,0.892806098,0.9469429,0.919077979
"SSF, MFCC",0.92890625,0.928643216,0.933804952,0.931216931
"SSF, MFCC, MFCC_1_delta",0.924739583,0.930682977,0.922688226,0.926668358
"SSF, MFCC, MFCC_2_delta",0.92734375,0.918307087,0.942900455,0.930441286
"SSF, MFCC, LPC",0.932552083,0.92957043,0.940373926,0.93494097
"SSF, MFCC, LPC, PLP",0.94140625,0.93762475,0.949469429,0.943509917
"SSF, MFCC, LPC, PLP, Chroma",0.934375,0.929815829,0.943911066,0.936810431
