,Accuracy,Precision,Recall,F1-Measure
PLP,0.794481173,0.755067568,0.827267119,0.789520165
Chroma,0.686979017,0.736654804,0.510795805,0.603278689
LPC,0.773210693,0.727074236,0.821714991,0.771503041
MFCC,0.810002874,0.782021152,0.821098088,0.801083358
MFCC_1_delta,0.814601897,0.793269231,0.814312153,0.803652968
MFCC_2_delta,0.815176775,0.825132979,0.765576804,0.79424
SSF,0.844495545,0.817273796,0.858112276,0.837195305
