,Accuracy,Precision,Recall,F1-Measure
Jamendo Vocal,0.941145833,0.931560807,0.956038403,0.943640898
Jamendo Normal,0.733333333,0.753854333,0.716523497,0.734715026
Electrobyte Vocal,0.831273354,0.789149888,0.870450339,0.827808742
Electrobyte Normal,0.822650187,0.805724726,0.816162862,0.810910205
