,Accuracy,Precision,Recall,F1-Measure
SSF,0.838459327,0.801023309,0.869216533,0.833727811
"SSF, MFCC",0.843920667,0.835199005,0.828500925,0.831836482
"SSF, MFCC_1_delta",0.83242311,0.785164835,0.881554596,0.830572508
"SSF, MFCC_2_delta",0.82983616,0.807899461,0.832819247,0.820170109
"SSF, LPC",0.8404714,0.821471653,0.840222085,0.83074108
"SSF, PLP",0.862891636,0.852216749,0.853793954,0.853004622
"SSF, PLP, Chroma",0.841333717,0.810575247,0.860579889,0.834829443
