,Accuracy,Precision,Recall,F1-Measure
PLP,0.905208333,0.898371978,0.920161698,0.909136296
Chroma,0.777864583,0.803667745,0.752905508,0.777458909
LPC,0.882552083,0.87972167,0.894391107,0.88699574
MFCC,0.915625,0.918140475,0.918140475,0.918140475
MFCC_1_delta,0.920052083,0.926095821,0.918140475,0.92210099
MFCC_2_delta,0.912239583,0.93810032,0.888327438,0.912535686
SSF,0.90625,0.882019821,0.944416372,0.912152269
